task,model,overlap,within_cat_r,between_cat_r,procrustes,cat_score_1,cat_score_2,iter,mean_cat_score,min_cat_score
label_and_triplet,B8,41.665,0.3539228191370204,0.17804012040024522,0.5108103228798395,2.2941628305466275,2.2639762429830954,8,2.2790695367648617,2.2639762429830954
label_and_triplet,B9,41.665,0.3229376490085515,0.2665895117743948,0.40201006405698136,2.5353227567951384,2.213263361313712,9,2.374293059054425,2.185010128625251
label_and_triplet,C0,16.665,0.15366752638101627,0.16146110763100419,0.5621763716049228,2.3992441000748084,2.3001696042764403,0,2.349706852175624,2.2200162722528622
label_and_triplet,C1,16.665,0.14888896792324874,0.20023806736228336,0.4045118214131137,2.869482042874383,2.6054047088854166,1,2.7374433758799,2.5329090012327358
label_and_triplet,C2,16.665,0.08867139746937765,0.1713089300080819,0.43221619803552774,2.4851831404882585,2.9488226488174423,2,2.7170028946528504,2.4851831404882585
label_and_triplet,C3,16.665,0.20026594190420044,0.19496551717527183,0.47281685219718217,2.3715149035613905,2.6793091109590788,3,2.525412007260235,2.3715149035613905
label_and_triplet,C4,16.665,0.23096593874518273,0.2672147500904076,0.40525777572519517,2.432667975446682,2.4830280640642144,4,2.457848019755448,2.432667975446682
label_and_triplet,C5,16.665,0.24380401500978574,0.21895223002824893,0.4597858022796877,2.4415127734907838,2.8286882394979846,5,2.635100506494384,2.4415127734907838
label_and_triplet,C6,16.665,0.22101062242288833,0.14552062165303786,0.5808867612572839,2.3021576038381273,2.9223873058102283,6,2.612272454824178,2.3021576038381273
label_and_triplet,C7,16.665,0.17037924956727224,0.14027649164206057,0.42819902447211755,2.872079851620703,2.305306727291707,7,2.588693289456205,2.305306727291707
label_and_triplet,C8,16.665,0.196535668171469,0.04149017320566876,0.5882640311021983,2.2941628305466275,2.245199064520394,8,2.2696809475335105,2.245199064520394
label_and_triplet,C9,16.665,0.24817437970507256,0.20826159878122186,0.45974099402233637,2.5353227567951384,2.2415165940021726,9,2.3884196753986555,2.213263361313712
triplet,A0,50.0,0.38916546903435156,0.3061777599215043,0.6674851271020001,1.3086721290500145,1.2603873052839203,0,1.2845297171669674,1.2603873052839203
triplet,A1,50.0,0.35800455655327745,0.3007631108548343,0.6846575837929118,1.2832776029964517,1.2295272166337983,1,1.256402409815125,1.220502701625808
triplet,A2,50.0,0.47678142937528883,0.42375266519370264,0.6301485516133892,1.2469495852260248,1.2364501772831769,2,1.2416998812546007,1.2311527312958637
triplet,A20,100.0,0.49406973248067676,0.4755563716634608,0.5015299273690939,1.3086721290500145,1.2312562785374888,0,1.2699642037937515,1.2312562785374888
