m1,m2,task,overlap,within_cat_r,between_cat_r,procrustes,cat_score_1,cat_score_2,iter,mean_cat_score,min_cat_score
A1,A21,label_and_triplet,100.0,0.622808570624426,0.43649761954940625,0.2999835521746219,2.4604132935800545,2.4614115908611636,1,2.460912442220609,2.4604132935800545
A2,B2,label_and_triplet,50.0,0.28192016092202754,0.3186265816788738,0.40045774488572267,2.5521640051258703,2.4182022758506467,2,2.4851831404882585,2.4182022758506467
A2,C2,label_and_triplet,0.0,0.060230995932866356,0.16087117154343417,0.4169200926639762,2.5521640051258703,2.9488226488174423,2,2.7504933269716565,2.5521640051258703
B2,C2,label_and_triplet,33.33,0.11711179900588893,0.18174668847272962,0.44751230340707926,2.4182022758506467,2.9488226488174423,2,2.6835124623340443,2.4182022758506467
A2,A22,label_and_triplet,100.0,0.47092945745958675,0.32175416913595234,0.3235947033828877,2.5521640051258703,2.599374021084673,2,2.5757690131052717,2.5521640051258703
A3,B3,label_and_triplet,50.0,0.42499360104690875,0.45817843609449266,0.36158988233860867,2.3396364627169683,2.4033933444058126,3,2.3715149035613905,2.3396364627169683
A3,C3,label_and_triplet,0.0,0.213260481689218,0.1987315797051032,0.482835440147084,2.3396364627169683,2.6793091109590788,3,2.5094727868380238,2.3396364627169683
B3,C3,label_and_triplet,33.33,0.18727140211918292,0.19119945464544047,0.46279826424728027,2.4033933444058126,2.6793091109590788,3,2.541351227682446,2.4033933444058126
A3,A23,label_and_triplet,100.0,0.7823634981998006,0.7017850084804368,0.16804788467656268,2.3396364627169683,2.476687109372727,3,2.4081617860448477,2.3396364627169683
A4,B4,label_and_triplet,50.0,0.38366225263921816,0.4868365753088011,0.32121130196215386,2.425791491884122,2.4395444590092423,4,2.432667975446682,2.425791491884122
A4,C4,label_and_triplet,0.0,0.1730723412925485,0.2900717917537416,0.4261842175175973,2.425791491884122,2.4830280640642144,4,2.4544097779741683,2.425791491884122
B4,C4,label_and_triplet,33.33,0.28885953619781696,0.2443577084270736,0.3843313339327931,2.4395444590092423,2.4830280640642144,4,2.4612862615367286,2.4395444590092423
A4,A24,label_and_triplet,100.0,0.4904041831201548,0.5084741893250736,0.25733509941397786,2.425791491884122,2.765180915027197,4,2.5954862034556596,2.425791491884122
A5,B5,label_and_triplet,50.0,0.3314391494303629,0.4017974283656386,0.3921372079834415,2.4989741325830974,2.3840514143984697,5,2.4415127734907838,2.3840514143984697
